source,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,term_size,query_size,intersection_size,effective_domain_size,intersections
GO:CC,polymeric cytoskeletal fiber,GO:0099513,3.42E-10,9.465817386,810,96,21,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,ACTB,ACTBL2,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,HSPA8,TUBB4B,STMN1,DNM1,NME1,CLTC,MAP2,PCP4"
GO:CC,growth cone,GO:0030426,4.27E-10,9.36910278,221,96,13,26207,"TUBB3,DPYSL2,ENO1,HSP90AB1,ENO2,YWHAE,CFL1,SNCB,HSP90AA1,SNCA,MAP2,CRMP1,FSCN1"
GO:CC,site of polarized growth,GO:0030427,6.71E-10,9.173060113,229,96,13,26207,"TUBB3,DPYSL2,ENO1,HSP90AB1,ENO2,YWHAE,CFL1,SNCB,HSP90AA1,SNCA,MAP2,CRMP1,FSCN1"
GO:CC,axon terminus,GO:0043679,1.32E-09,8.880842948,189,96,12,26207,"ACTB,DPYSL2,HSPA8,GOT1,PEBP1,SNCB,GLUL,SNCA,RAB3A,FKBP1A,CALB1,SYP"
GO:CC,cytoskeleton,GO:0005856,1.53E-09,8.815977567,2374,96,33,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,ACTB,ACTBL2,GAPDH,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,MDH1,HSPA8,TUBB4B,YWHAE,CFL1,TNNC2,STMN1,SNCA,DNM1,NME1,PFN2,CLTC,MAP2,PCP4,CRMP1,PFN1,CALB1,RAN,FSCN1"
GO:CC,microtubule,GO:0005874,4.32E-09,8.364774457,472,96,16,26207,"TUBA1C,TUBB3,TUBA8,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,HSPA8,TUBB4B,STMN1,DNM1,CLTC,MAP2"
GO:CC,supramolecular complex,GO:0099080,8.18E-09,8.087244196,1418,96,25,26207,"ACTA1,TUBA1C,TUBB3,TUBA8,ACTB,ACTBL2,TUBB4A,TUBB2A,TUBB5,TUBA4A,TUBA3A,DPYSL2,TUBB6,HSPA8,ALDOA,TUBB4B,TNNC2,STMN1,PPP3CA,SNCA,DNM1,NME1,CLTC,MAP2,PCP4"
GO:CC,mitochondrion,GO:0005739,2.34E-08,7.630970078,1889,96,28,26207,"GAPDH,CKB,YWHAZ,DPYSL2,MDH1,HSP90AB1,YWHAE,CFL1,LDHB,PEBP1,PKM,LDHA,SNCB,CAMK2A,GLUL,HSP90AA1,UQCRC2,PPP3CA,SNCA,NME1,CLTC,ALDOC,PRDX2,ATP6V1A,GSTP1,ATP5F1B,PRDX5,ACOT7"
GO:CC,Schaffer collateral - CA1 synapse,GO:0098685,2.87E-08,7.541968838,141,96,10,26207,"ACTB,DPYSL2,CAMK2A,ARHGDIA,PPP3CA,PFN2,PFN1,PPP3R1,SH3GL2,SYP"
GO:CC,pigment granule,GO:0048770,3.59E-08,7.444676815,102,96,9,26207,"YWHAZ,HSP90AB1,HSPA8,YWHAE,HSP90AA1,CLTC,ATP6V1B2,YWHAB,RAN"
GO:CC,melanosome,GO:0042470,3.59E-08,7.444676815,102,96,9,26207,"YWHAZ,HSP90AB1,HSPA8,YWHAE,HSP90AA1,CLTC,ATP6V1B2,YWHAB,RAN"
