"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HP","Abnormal corpus callosum morphology","HP:0001273","0.027900785586055663","1.5543835683792395","946","57","24","5228","MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,CNP,TUBB2A,STXBP1,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,RAC1,ATP1A3,VAMP2,GRIN1,SLC1A2,YWHAG,SYNGAP1,HNRNPU"
"HP","Tonic seizure","HP:0032792","0.027988914832832737","1.5530139393776634","143","57","9","5228","GNAO1,STXBP1,SLC25A22,ATP1A3,ATP6V0A1,GRIN1,SLC1A2,HNRNPU,SLC25A12"
"HP","EEG with multifocal slow activity","HP:0010844","0.028354638943918282","1.5473758784665836","53","57","6","5228","ATP1A2,CLTC,ATP1A3,SLC1A2,YWHAG,SYNGAP1"
"HP","Upper motor neuron dysfunction","HP:0002493","0.034153702716103594","1.4665622061259145","1240","57","28","5228","TUBB4A,MTCO2,ACTB,TUBB3,ATP1A2,CAMK2A,GNAO1,PLP1,CNP,STXBP1,CLTC,SPTAN1,SLC25A22,SPTBN1,SPTBN2,ATP5F1A,ATP1A3,ATP6V0A1,MYO5A,CAMK2B,GRIN1,SLC1A2,YWHAG,MTATP8,SLC1A3,SYNGAP1,GRIN2B,SLC25A12"
"HP","Skewfoot","HP:0032649","0.03431354163585193","1.4645344543854668","6","57","3","5228","ATP1A2,ATP1A3,SLC1A3"
"HP","Ocular flutter","HP:0031931","0.03431354163585193","1.4645344543854668","6","57","3","5228","ATP1A2,ATP1A3,SLC1A3"
"HP","Seizure precipitated by febrile infection","HP:0032894","0.03493957987917976","1.4566823213694273","147","57","9","5228","ATP1A2,CAMK2A,GNAO1,SPTAN1,SLC25A22,SPTBN1,GRIN1,SYNGAP1,SLC25A12"
"HP","Febrile seizure (within the age range of 3 months to 6 years)","HP:0002373","0.03493957987917976","1.4566823213694273","147","57","9","5228","ATP1A2,CAMK2A,GNAO1,SPTAN1,SLC25A22,SPTBN1,GRIN1,SYNGAP1,SLC25A12"
"HP","Infection-related seizure","HP:0032892","0.03493957987917976","1.4566823213694273","147","57","9","5228","ATP1A2,CAMK2A,GNAO1,SPTAN1,SLC25A22,SPTBN1,GRIN1,SYNGAP1,SLC25A12"
"HP","Clonic seizure","HP:0020221","0.03918896319236893","1.406836226335354","83","57","7","5228","ATP1A2,GNAO1,SLC25A22,SPTBN1,ATP1A3,ATP6V0A1,GRIN1"
"HP","Impulsivity","HP:0100710","0.041071900617997543","1.38645519953715","150","57","9","5228","ATP1A2,CLTC,SPTBN1,ATP1A3,SLC1A2,YWHAG,GNB2,SLC1A3,SYNGAP1"
"HP","Abnormality of mental function","HP:0011446","0.04913856488472642","1.3085775314486416","3194","57","49","5228","ACTA1,TUBB4A,MTCO2,TUBA8,ACTB,TUBB3,ATP1A2,TUBA4A,CAMK2A,GNAO1,PLP1,CNP,TUBB2A,ATP1A1,MOG,SYT1,STXBP1,SYN1,ATP5F1B,SLC25A4,SNAP25,CLTC,TUBB5,SPTAN1,HK1,SLC25A22,SPTBN1,RAC1,ACTN4,SPTBN2,DLG4,ATP5F1A,ATP1A3,VAMP2,ATP6V0A1,MYO5A,CAMK2B,UQCRQ,GRIN1,SLC1A2,SYN2,YWHAG,GNB2,MTATP8,SLC1A3,SYNGAP1,GRIN2B,HNRNPU,SLC25A12"
