Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
Q9DB42,ZN593_MOUSE,Znf593,Zinc finger protein 593,1,1,,,,,,,,,,,,,,,,,,,,,,795520,,,,,,,,,,,,,,,1.87E+06,,,,,,
Q8BHZ4,ZN592_MOUSE,Znf592,Zinc finger protein 592,2,2,27517.6,33991.9,,,,,,,,,,,,51874.5,,118510,138352,,,,,159693,,,,,,,,,,,,,,,,,,,,,
Q0GGX2,ZN541_MOUSE,Znf541,Zinc finger protein 541,8,8,,,,,,,,,,,,,,,,,,,,,,8.45E+06,,,,,,,,,,,,,,,109591,,,,,,
Q6NXK2,ZN532_MOUSE,Znf532,Zinc finger protein 532,5,0,,,,,,144310,,,,165478,,,,119356,,387450,412983,,333255,228457,234249,443966,,,,,,,,,,,,,,,,,,,,,
Q7TSH3,ZN516_MOUSE,Znf516,Zinc finger protein 516,5,4,,,,,,,,,,,,,,,,30070.6,58524.5,,,,,1.32E+06,,,,,,,,,,,,,,,,,,,,,
Q69Z99,ZN512_MOUSE,Znf512,Zinc finger protein 512,20,0,627267,105081,269186,,,607489,,,,998271,,,,355615,,187935,255495,379707,237555,235064,199787,358359,,65313.1,,,,259536,,,,1.85E+06,1.51E+06,1.52E+06,,157778,,,,,,,
Q8BXJ8,Z385B_MOUSE,Znf385b,Zinc finger protein 385B,2,0,,,123973,,,,,,,,,,,,,,,,138276,,65180.9,,,,,,,,,,,2.26E+06,1.63E+06,2.73E+06,,,74935.4,,,,,,
Q8VD12,Z385A_MOUSE,Znf385a,Zinc finger protein 385A,5,0,,,,,,,,,,,,,,,,165301,224455,,,,,740046,,,,,,,,,,,,,,,583515,,,,,,
Q0VDT2,ZN367_MOUSE,Znf367,Zinc finger protein 367,1,1,,,,,,,,,,,,,,,,,,,,,,179397,,,,,,,,,,,,,,,,,,,,,
Q8BG89,ZN365_MOUSE,Znf365,Protein ZNF365,8,8,,,,,,708234,,,,811124,,70371.8,,417873,,,285852,,330729,343828,943738,,,,,,,,,,,,,,,,,,,,,,
Q9R0B7,ZN346_MOUSE,Znf346,Zinc finger protein 346,1,0,,,,,,,,,,,,,,,,175978,145153,,,,,137207,,,,,,,,,,,,,,,,,,,,,
O88291,ZN326_MOUSE,Znf326,DBIRD complex subunit ZNF326,20,0,2.86E+06,1.44E+06,2.21E+06,,,541742,,,,968009,,,,1.34E+06,,3.36E+06,4.43E+06,1.62E+06,4.53E+06,3.87E+06,2.54E+06,2.99E+07,158013,2.07E+06,,,,2.17E+06,,181216,195617,8.07E+06,1.67E+07,1.60E+07,,2.06E+06,1.31E+07,181365,414474,,,258024,
Q99PP2,ZN318_MOUSE,Znf318,Zinc finger protein 318,21,20,,,,,,,,,,,,,,76800.3,,216217,251786,,,,,4.14E+06,,,,,,,,,,,534502,,,302766,540831,,,,,,
Q99LI5,ZN281_MOUSE,Znf281,Zinc finger protein 281,6,6,,,,,,,,,,,,,,,,540147,680837,,,,,9.18E+06,,,,,,,,,,,,,,,1.27E+06,,,,,,
Q68FE8,Z280D_MOUSE,Znf280d,Zinc finger protein 280D,6,0,,,,,,,,,,283084,,,,,,309874,417996,,,,,1.69E+06,,,,,,,,,,,,,,,,,,,,,
Q6P3Y5,Z280C_MOUSE,Znf280c,Zinc finger protein 280C,6,6,,,,,,37571.4,,,,71481.1,,,,,,65721.1,73150.6,,,,,80119.8,,,,,,,,,,,66216.1,,,,,,,,,,
Q8CF60,ZN263_MOUSE,Znf263,Zinc finger protein 263,2,0,,,,,,,,,,,,,,,,,,,,,,1.02E+06,,,,,,,,,,,,,,,369686,,,,,,
Q9ERU3,ZNF22_MOUSE,Znf22,Zinc finger protein 22,5,5,,,,,,279000,,,,370203,,,,193316,,,,297581,,,,275938,,,,,,,,,,,,,,496561,,,,,,,
Q6IQX8,ZN219_MOUSE,Znf219,Zinc finger protein 219,7,0,,,,,,,,,,,,,,101683,,84865.7,172552,,,,,2.12E+06,,,,,,,,,,,,,,,287642,,,,,,
Q9JMD0,ZN207_MOUSE,Znf207,BUB3-interacting and GLEBS motif-containing protein ZNF207,7,0,775985,541333,852918,,,,,,,175048,74721.1,,57047.6,225514,64963.3,1.40E+06,1.44E+06,,744471,690337,871246,8.21E+06,,956734,,,,124410,,,72775.1,1.50E+06,1.67E+06,2.59E+06,,1.15E+06,2.54E+06,136259,115035,,,,
Q61624,ZN148_MOUSE,Znf148,Zinc finger protein 148,8,1,,,,,,100774,,,,115362,,,,,,208521,230006,,403316,135976,248940,921051,,108275,,,,,127529,,,,331666,,,148389,,,,,,,
O88466,ZN106_MOUSE,Znf106,Zinc finger protein 106,2,0,,,,,,,,,,,,,,,,69624.6,44398.7,,,,,,,,,,,,,,,,,,,,,,,,,,
A2A483;E9Q8D1,A2A483_MOUSE;E9Q8D1_MOUSE,Zmynd8,"Zinc finger, MYND-type containing 8",19,19,145581,153107,,,,176938,,,,193744,,,,41664.7,,108217,66534.9,,159960,88037.9,135115,84782.7,,,,,,,,,,,,,,,,,,,,,
Q8C0R7,ZMY15_MOUSE,Zmynd15,Zinc finger MYND domain-containing protein 15,2,2,,,,,,,,,,,,,,,,,,,,,,351640,,,,,,,,,,,,,,,,,,,,,
Q8R5C8,ZMY11_MOUSE,Zmynd11,Zinc finger MYND domain-containing protein 11,5,5,,,,,,95570.6,,,,142843,,,,65629,,,,,,,,72869.3,,,,,,,,,,,,,,75911.3,,,,,,,
Q99ML0,ZMY10_MOUSE,Zmynd10,Zinc finger MYND domain-containing protein 10,13,13,,,,,,160020,,,,,,,,,,,,,,,423045,482325,,183426,,,,,,,,,,,,,273058,905970,286874,,,,
Q3U2E2,ZMYM5_MOUSE,Zmym5,Zinc finger MYM-type protein 5,2,2,,,,,,,,,,,,,,,,,,,,,,1.16E+06,,,,,,,,,,,,,,,,,,,,,
A2A791,ZMYM4_MOUSE,Zmym4,Zinc finger MYM-type protein 4,9,9,,,,,,255823,,,,297650,,,,274072,,330246,403517,248630,,,,1.50E+06,,,,,,,,,,,,,,,,,,,,,
Q9JLM4,ZMYM3_MOUSE,Zmym3,Zinc finger MYM-type protein 3,4,4,,,,,,105605,,,,131524,,,,128427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9CU65,ZMYM2_MOUSE,Zmym2,Zinc finger MYM-type protein 2,3,3,,,,,,38991.2,,,,48176.3,,,,60310.8,,85351.8,60255.9,,,,,,,,,,,,,,,,,,,,,56375.9,,,,,
Q80W54,FACE1_MOUSE,Zmpste24,CAAX prenyl protease 1 homolog,13,13,,,,109991,296899,419581,,108967,211017,327455,,190158,184298,420166,,,,512036,,,,177772,481254,,,,,85598.2,,1.05E+06,323507,,,,,179110,,,679477,,1.20E+06,927046,
Q8CIE2,ZMIZ2_MOUSE,Zmiz2,Zinc finger MIZ domain-containing protein 2,3,1,,,,,271114,,31420.6,,282860,,,,229588,,,,,,,,,,,,,,,,,,84094.7,,,,,,,,,,,,
Q8BZ94,ZMAT4_MOUSE,Zmat4,Zinc finger matrin-type protein 4,4,4,70287.9,91898.5,,,,,,,,30204.5,,,,56099,,51208.6,72074.8,,150383,165461,99226.4,,,,,,,,,,,334696,236114,623390,,,,,,,,,
Q9CPW7,ZMAT2_MOUSE,Zmat2,Zinc finger matrin-type protein 2,4,4,,,,,,,,,,,,,,283660,,591695,588494,,,261736,342152,6.28E+06,,158922,,,,,,,,,,,,261030,2.12E+06,,,,,,
A2ALW2,A2ALW2_MOUSE,Zkscan16,Zinc finger with KRAB and SCAN domains 16,6,6,26410.3,,,,,406684,,,,622288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8C0Q2,ZHX3_MOUSE,Zhx3,Zinc fingers and homeoboxes protein 3,9,9,,,,,,,,,,,,,,,,191712,235505,123347,,,240447,2.06E+06,,318232,,,,,,,,,370215,,,479203,,,,,,,
Q8C0C0,ZHX2_MOUSE,Zhx2,Zinc fingers and homeoboxes protein 2,5,5,,,,,,,,,,,,,,,,,,,,,,716305,,141254,,,,,,,,,,,,389076,,,,,,,
P70121,ZHX1_MOUSE,Zhx1,Zinc fingers and homeoboxes protein 1,3,3,,,,,,,,,,13662.2,,,,,,71061.9,128998,,,,,,,,,,,,,,,,,,,171341,,,,,,,
Q8VDM1,ZGPAT_MOUSE,Zgpat,Zinc finger CCCH-type with G patch domain-containing protein,1,1,,,,,,,,,,,,,,,,136318,126980,72733.6,,,,845346,,,,,,,,,,,,,,,,,,,,,
Q3TXX3,ZFY27_MOUSE,Zfyve27,Protrudin,4,4,,,,11677.6,,24888.4,,,,18199.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18655.7,,,,
Q9DAZ9,ANCHR_MOUSE,Zfyve19,Abscission/NoCut checkpoint regulator,1,1,,,,,,,,,,,,,,,,64067.6,44601.1,,,,,,,10975.7,,,,,,,,,,,,,,,,,,,
Q810J8,ZFYV1_MOUSE,Zfyve1,Zinc finger FYVE domain-containing protein 1,15,15,107020,106638,177058,159767,763410,99052.6,53846,130364,748548,94099.7,28877.1,174268,637202,172751,,118947,106745,,136648,134587,118139,,,,,,,,117516,,,,,,,,,,63687.7,,,,
P17012,ZFX_MOUSE,Zfx,Zinc finger X-chromosomal protein,3,2,,,,,,73691.4,,,,84832.7,,,,,,,83568.9,,,,,538203,,,,,,,,,,,,,,123181,,,,,,,
E9Q5M4,E9Q5M4_MOUSE,Zfr2,Zinc finger RNA binding protein 2,7,7,271062,231052,272005,,166395,199137,,,96224.3,264718,,,,272960,,242402,307046,,,,77118.7,,,,,,,,,,,,,,,,,,,,,,
O88532,ZFR_MOUSE,Zfr,Zinc finger RNA-binding protein,33,33,2.20E+06,1.78E+06,1.01E+06,42523.4,804602,571408,162237,213486,495484,836458,133736,,465307,595778,78352.9,807323,740391,350693,564679,623099,596189,1.24E+06,305567,,,,,244147,,,68250.5,324748,361869,492854,,,389505,165724,142404,,,,
Q9DB43,ZFPL1_MOUSE,Zfpl1,Zinc finger protein-like 1,4,4,,,,70533.2,,364802,,73919.4,,324320,,,,528775,,216852,299820,426863,,,,5.34E+06,,,,,,,,,,,,,,946393,214131,,390252,,,,
Q62511,ZFP91_MOUSE,Zfp91,E3 ubiquitin-protein ligase ZFP91,1,0,,,,,,,,,,,,,,,,,,,,,,551924,,,,,,,,,,,,,,,68159.4,,,,,,
G5E905;Q80XN4,G5E905_MOUSE;Q80XN4_MOUSE,Zfp871,Zinc finger protein 871,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28379.4,,,,,,,
A0A1Y7VNF0;E9PUU5,A0A1Y7VNF0_MOUSE;E9PUU5_MOUSE,Zfp839,Zinc finger protein 839 (Fragment),3,3,,,,,,,,,,,,,,,,,,,,,,988233,,,,,,,,,,,,,,,,,,,,,
Q6NV66,ZN646_MOUSE,Zfp646,Zinc finger protein 646,9,9,,,,,,,,,,,,,,,,,,,,,,3.18E+06,,,,,,,,,,,,,,26799,2.18E+06,,,,,,
E9Q624;E9QA22,E9Q624_MOUSE;E9QA22_MOUSE,Zfp644,Zinc finger protein 644,2,2,,,,,,21867.9,,,,17089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0N4SV80,A0A0N4SV80_MOUSE,Zfp638,Zinc finger protein 638,51,0,1.47E+06,943899,929022,,,313244,,,,555333,,,,335557,,889146,1.17E+06,402641,816010,684002,839182,2.95E+06,,233831,,,,428270,,,,592781,751744,792396,,344120,786181,,,,,,
