Protein.Group,Protein.Names,Genes,First.Protein.Description,N.Sequences,N.Proteotypic.Sequences,LFQ Intensity FASP_8M_1.raw,LFQ Intensity FASP_8M_2.raw,LFQ Intensity FASP_8M_3.raw,LFQ Intensity Control_1.raw,LFQ Intensity Gel_1.raw,LFQ Intensity FASP_Pellet_1.raw,LFQ Intensity SN_1.raw,LFQ Intensity Control_2.raw,LFQ Intensity Gel_2.raw,LFQ Intensity FASP_Pellet_2.raw,LFQ Intensity SN_2.raw,LFQ Intensity Control_3.raw,LFQ Intensity Gel_3.raw,LFQ Intensity FASP_Pellet_3.raw,LFQ Intensity SN_3.raw,LFQ Intensity Pelletpellet_1.raw,LFQ Intensity Pelletpellet_2.raw,LFQ Intensity Pelletpellet_3.raw,LFQ Intensity Pellet_1.raw,LFQ Intensity Pellet_2.raw,LFQ Intensity Pellet_3.raw,LFQ Intensity DRG_Pelletpellet.raw,LFQ Intensity DRG8M.raw,LFQ Intensity DRG_Pellet.raw,LFQ Intensity DRG_Sample.raw,LFQ Intensity DRG_SN.raw,LFQ Intensity Kidney_Pelletpellet.raw,LFQ Intensity Kidney_Pellet.raw,LFQ Intensity Kidney_Sample.raw,LFQ Intensity Kidney_SN.raw,LFQ Intensity Lung8M.raw,LFQ Intensity FASP_SDS_1.raw,LFQ Intensity FASP_SDS_2.raw,LFQ Intensity FASP_SDS_3.raw,LFQ Intensity Skin8M.raw,LFQ Intensity Testes_Pelletpellet.raw,LFQ Intensity Testes_Pellet.raw,LFQ Intensity Testes_Sample.raw,LFQ Intensity Testes_SN.raw,LFQ Intensity TRPA1_gel.raw,LFQ Intensity TRPA1_Xeno.raw,LFQ Intensity TRPV1_gel.raw,LFQ Intensity TRPV1_Xeno.raw
P47811,MK14_MOUSE,Mapk14,Mitogen-activated protein kinase 14,4,4,,,,,,9446.48,,,,9278.56,,,,,,,,,,,,,,,,,,,13754.4,16490,17308.5,,,,,,,95003.2,27189.7,,,,
O08911,MK12_MOUSE,Mapk12,Mitogen-activated protein kinase 12,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117662,,,,,,,,,,,,
A0A5F8MP75;E9QN59;Q3TQZ7;Q80W82;Q8C9D4,A0A5F8MP75_MOUSE;E9QN59_MOUSE;Q3TQZ7_MOUSE;Q80W82_MOUSE;Q8C9D4_MOUSE,Mapk10,Stress-activated protein kinase JNK,2,0,,,,89114,,105300,104340,81076.9,,129627,100891,166796,,,140324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80W80,Q80W80_MOUSE,Mapk10,Stress-activated protein kinase JNK,16,8,354556,349421,,828643,,745223,1.03E+06,799584,,472003,1.27E+06,975743,,753187,1.16E+06,248346,285294,273422,,184715,411399,,459965,,,,,,,,380340,,,,456170,,,508694,271596,,,,
P63085,MK01_MOUSE,Mapk1,Mitogen-activated protein kinase 1,26,21,1.86E+06,3.08E+06,2.18E+06,2.52E+06,,2.94E+06,2.42E+06,2.78E+06,,3.88E+06,3.11E+06,3.12E+06,,3.57E+06,2.67E+06,1.07E+06,1.25E+06,897762,1.00E+06,786110,759164,228428,2.48E+06,117465,4.00E+06,1.87E+06,,629295,1.60E+06,1.14E+06,1.58E+06,,,904860,726984,549364,,1.19E+06,778242,,4.65E+06,836057,
Q3TRR0,MAP9_MOUSE,Map9,Microtubule-associated protein 9,18,18,522043,270932,470167,,306058,177581,,,329440,275644,,,330201,268835,,1.53E+06,1.86E+06,,1.05E+06,967195,963305,368475,,,,,,,,,,1.25E+06,1.29E+06,1.72E+06,,,395836,,,,,,
A2AEY4,MA7D3_MOUSE,Map7d3,MAP7 domain-containing protein 3,8,8,,,,,,,,,,,,,,,,,,,,,,4.75E+06,,,,,,,,,,,,,,,733710,,,,,,
A2AG50,MA7D2_MOUSE,Map7d2,MAP7 domain-containing protein 2,30,29,466328,437092,421449,,702954,84794.3,72800,122344,652291,190118,115325,,631500,243736,105741,1.69E+06,1.98E+06,1.29E+06,1.13E+06,846154,864436,1.41E+06,654155,,163732,395692,,926002,,,,748393,672790,425738,,,495902,,,,,,
A2AJI0,MA7D1_MOUSE,Map7d1,MAP7 domain-containing protein 1,27,27,2.29E+06,1.83E+06,2.42E+06,117048,1.37E+06,360581,285703,138732,1.49E+06,464152,383779,126431,1.57E+06,420557,341027,4.51E+06,4.57E+06,2.59E+06,1.95E+06,1.34E+06,1.75E+06,1.03E+06,445886,,,,,1.20E+06,,,377230,6.76E+06,5.92E+06,6.19E+06,,126573,334051,,,,,,
A0A1L1SUN4,A0A1L1SUN4_MOUSE,Map7,Microtubule-associated protein 7 (Fragment),1,1,,189001,,,172508,,,,205115,,,,248030,,,397876,908185,,1.05E+06,563038,657916,,,,,,,,,,,,,,,,,,,,,,
O88735,MAP7_MOUSE,Map7,Ensconsin,24,23,741283,611426,1.13E+06,,668263,117002,72522.1,46273.1,814761,119249,121514,,678849,199607,109233,2.61E+06,2.76E+06,1.34E+06,2.00E+06,1.34E+06,1.20E+06,9.28E+06,,1.19E+06,,,,1.07E+06,196550,,149484,2.10E+06,1.33E+06,1.30E+06,,2.01E+06,9.80E+06,116264,280529,,,,
Q14BB9,MA6D1_MOUSE,Map6d1,MAP6 domain-containing protein 1,6,6,3.01E+06,2.24E+06,2.39E+06,237741,,720390,534514,371331,,500348,393202,657180,,2.38E+06,239054,1.82E+07,1.84E+07,5.82E+06,7.23E+06,6.62E+06,5.71E+06,1.45E+06,,,,519814,,2.93E+06,404177,,,4.80E+06,4.17E+06,9.75E+06,,,,,,,,,
Q7TSJ2,MAP6_MOUSE,Map6,Microtubule-associated protein 6,100,100,4.36E+07,3.11E+07,4.00E+07,2.12E+06,2.99E+07,5.10E+06,2.80E+06,2.90E+06,2.67E+07,7.38E+06,3.36E+06,3.12E+06,2.81E+07,5.45E+06,2.70E+06,3.44E+07,4.11E+07,1.35E+07,4.07E+07,2.92E+07,4.51E+07,3.46E+06,5.12E+06,,2.22E+06,3.84E+06,,1.20E+07,,,383795,1.12E+08,9.43E+07,1.20E+08,,632200,1.12E+06,,,,,,
Q8BPM2,M4K5_MOUSE,Map4k5,Mitogen-activated protein kinase kinase kinase kinase 5,8,8,,,,,101401,186833,,,78818,216111,,,101992,309794,,228585,246217,194732,,,,464046,,,,,,,,,,,,,,,,,,,,,
A0A0A6YWR8,A0A0A6YWR8_MOUSE,Map4k4,non-specific serine/threonine protein kinase,15,15,235070,291833,,130614,314286,512789,,90052.1,217100,300474,,130935,,305393,,215208,204039,213178,,,,204358,179348,,,,,,,,109156,,,,,168169,,,182391,,,,
Q99JP0,M4K3_MOUSE,Map4k3,Mitogen-activated protein kinase kinase kinase kinase 3,19,18,701349,796924,,,650479,526056,,,488472,490567,,,448973,925117,,481784,524960,321624,,,,401663,,,,,,,,,,,,,,390750,,,,,,,
Q61161,M4K2_MOUSE,Map4k2,Mitogen-activated protein kinase kinase kinase kinase 2,3,3,,,,,17739.8,26781.8,,,12604.2,25408,,,15621.1,21226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0A0G2JG35,A0A0G2JG35_MOUSE,Map4,Microtubule-associated protein (Fragment),3,3,,,,,,,,,,,,,,281190,,684799,845393,282807,,161783,,,,,,,,,,,,,,,,,,,,,,,
E9PZ43,E9PZ43_MOUSE,Map4,Microtubule-associated protein,73,73,3.78E+06,2.71E+06,3.84E+06,263881,3.27E+06,477538,589501,241216,2.62E+06,657540,752621,240901,2.79E+06,909523,812301,6.54E+06,9.32E+06,3.15E+06,6.30E+06,4.77E+06,4.69E+06,1.27E+07,3.53E+06,801367,2.41E+06,2.73E+06,,2.86E+06,593998,,2.00E+06,2.32E+07,1.82E+07,1.75E+07,,898954,9.12E+06,1.33E+06,176730,,,,
P27546,MAP4_MOUSE,Map4,Microtubule-associated protein 4,22,22,2.16E+06,2.25E+06,1.55E+06,305177,186999,248708,491976,208257,218105,299529,494855,230785,191901,,564494,622859,780299,1.42E+06,1.48E+06,938965,979430,7.41E+06,2.43E+06,386576,1.03E+06,362975,,1.06E+06,412956,237350,1.64E+06,4.33E+06,3.41E+06,2.69E+06,755258,327158,1.76E+06,1.24E+06,312755,,,,
Q62073,M3K7_MOUSE,Map3k7,Mitogen-activated protein kinase kinase kinase 7,2,2,,,,,,17744.5,,,,,,,,150733,,211245,238485,,,,,310702,,,,,,,,,,,,,,,,,,,,,
O35099,M3K5_MOUSE,Map3k5,Mitogen-activated protein kinase kinase kinase 5,17,17,,,,74392.8,130139,145498,46004.5,61490.6,,215620,61545.9,78941,,264450,48340.4,174372,189992,,,,,93781.7,,,,,,,,,,,,,,116006,,,,,,,
Q61084,M3K3_MOUSE,Map3k3,Mitogen-activated protein kinase kinase kinase 3,1,1,226312,372687,229829,168736,,236771,146334,183931,,472964,225194,204036,,798600,,,97540.6,1.41E+06,32048.7,27982.1,,,1.66E+06,,2.74E+06,,,311443,961772,176866,763374,,,,,,,477192,374224,,,,
Q9ESL4,M3K20_MOUSE,Map3k20,Mitogen-activated protein kinase kinase kinase 20,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192734,,,,,,,,,,,,
Q1HKZ5,M3K13_MOUSE,Map3k13,Mitogen-activated protein kinase kinase kinase 13,1,1,,,,,55101.4,,,,43991.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q60700,M3K12_MOUSE,Map3k12,Mitogen-activated protein kinase kinase kinase 12,6,5,,,,,,38373.2,,,,73231.2,,,,36654,,34655.6,90362.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80XI6,M3K11_MOUSE,Map3k11,Mitogen-activated protein kinase kinase kinase 11,3,3,,,,,,11625.8,,,,21073,,,,28997.1,,54775.6,68638.9,76399.2,,,,88758.5,,,,,,,,,,,,,,38680.1,,,,,,,
Q66L42,M3K10_MOUSE,Map3k10,Mitogen-activated protein kinase kinase kinase 10,7,5,,,,,57222.2,10427.5,14947.8,,46656.4,6895.74,,,44362.8,25716.2,,24374.7,23423.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8CE90,MP2K7_MOUSE,Map2k7,Dual specificity mitogen-activated protein kinase kinase 7,8,8,242918,192636,,93162.9,,417619,,97338.2,,331165,,160876,,392896,129315,127096,146301,170949,,36731.1,41331.4,144955,133108,,,,,,,,,,,,,107500,,,,,,,
P70236,MP2K6_MOUSE,Map2k6,Dual specificity mitogen-activated protein kinase kinase 6,5,5,77372,66365.4,,53493.1,,55080.6,53774.1,45205,,61331.5,69978.8,74109.6,,,119566,54263.6,59072.6,,,,,,,,,,,,,,,,,,,,,,,,,,
P47809,MP2K4_MOUSE,Map2k4,Dual specificity mitogen-activated protein kinase kinase 4,20,20,336616,798477,,732417,,1.15E+06,862356,867368,,1.28E+06,1.01E+06,982760,,2.18E+06,1.04E+06,2.18E+06,2.23E+06,1.61E+06,,111955,370198,938837,682059,,1.43E+06,1.07E+06,,,317795,,318534,,,,,427431,,394329,256335,,,,
O09110,MP2K3_MOUSE,Map2k3,Dual specificity mitogen-activated protein kinase kinase 3,2,2,,,,,,12254,,,,,,,,,,,,,,,,,,,,,,,,,96291.3,,,,,,,,,,,,
Q63932,MP2K2_MOUSE,Map2k2,Dual specificity mitogen-activated protein kinase kinase 2,7,7,,91116.9,,71708.6,,92299.2,58199.4,68810.6,,,93005.9,77496.4,,,129904,165688,152426,,,,,,,,116964,,,,187283,69600.1,65837.7,,,,,,,445643,145973,,,,
P31938,MP2K1_MOUSE,Map2k1,Dual specificity mitogen-activated protein kinase kinase 1,22,15,483934,581958,570008,1.26E+06,,925727,1.18E+06,1.11E+06,,937217,1.50E+06,1.52E+06,,970304,1.60E+06,708638,960096,574943,731476,620068,827170,,554367,,483064,,,353745,406548,361558,400865,,,,621451,342868,,381388,184041,,524660,368845,
G3UZJ2,G3UZJ2_MOUSE,Map2,Microtubule-associated protein (Fragment),4,4,2.87E+06,2.15E+06,3.57E+06,136569,89128.3,394455,658990,164581,125457,521761,1.03E+06,132090,,720749,848916,869076,1.08E+06,,2.76E+06,2.91E+06,2.68E+06,,,,,,,366306,,,,3.88E+06,2.37E+06,4.38E+06,,,,,,,,,
P20357,MTAP2_MOUSE,Map2,Microtubule-associated protein 2,187,187,4.42E+07,4.16E+07,4.11E+07,1.71E+06,3.35E+06,5.50E+06,7.82E+06,1.79E+06,3.23E+06,6.87E+06,1.02E+07,2.35E+06,2.89E+06,6.15E+06,9.02E+06,2.06E+07,2.28E+07,3.93E+06,2.06E+07,1.52E+07,2.14E+07,3.80E+06,760824,540168,4.89E+06,3.01E+06,,3.32E+06,1.25E+06,,,5.03E+07,4.50E+07,5.55E+07,,959624,2.04E+06,,,,,,
Q3TLQ0,Q3TLQ0_MOUSE,Map2,Microtubule-associated protein,1,1,,,,,,,,,,,,,,,,,,,,,,1.31E+06,,,,,,,,,,,,,,,,,,,,,
Q8C052,MAP1S_MOUSE,Map1s,Microtubule-associated protein 1S,14,14,1.96E+06,1.21E+06,1.22E+06,67548.9,793401,697202,199533,74292,914711,751057,247913,141859,779226,858854,232012,1.08E+06,1.12E+06,805879,766605,465901,608176,3.85E+06,290651,,219873,264718,,,308865,,146318,,,,,517260,1.47E+06,214398,,,,,
Q9CQV6,MLP3B_MOUSE,Map1lc3b,Microtubule-associated protein 1 light chain 3 beta,6,6,730455,775060,760284,471481,,3.41E+06,737273,336065,,4.02E+06,1.03E+06,506197,,3.29E+06,940406,2.08E+06,3.78E+06,1.24E+06,5.61E+06,4.63E+06,3.13E+06,4.08E+06,1.39E+06,100623,574270,,,3.02E+06,,,390406,,,,,562395,1.17E+06,101051,427685,,,,
Q91VR7,MLP3A_MOUSE,Map1lc3a,Microtubule-associated protein 1 light chain 3 alpha,11,8,1.29E+07,7.93E+06,1.34E+07,1.01E+06,,1.17E+07,2.64E+06,1.52E+06,,1.32E+07,3.19E+06,1.80E+06,,4.14E+06,2.92E+06,1.23E+06,1.21E+06,2.51E+06,1.30E+07,9.97E+06,1.58E+07,466783,4.61E+06,131378,572863,,,4.62E+06,,,508472,1.56E+06,1.17E+06,2.34E+06,,81667.8,721970,366173,283815,,,,
P14873,MAP1B_MOUSE,Map1b,Microtubule-associated protein 1B,155,155,3.46E+07,2.81E+07,2.17E+07,835280,951630,1.03E+07,3.07E+06,1.07E+06,884751,8.53E+06,4.79E+06,1.48E+06,752322,6.79E+06,3.69E+06,1.13E+07,1.18E+07,1.08E+07,1.02E+07,9.83E+06,1.18E+07,1.27E+07,1.28E+07,553665,4.53E+06,2.62E+06,,1.14E+07,,,470982,7.12E+07,4.25E+07,7.89E+07,,1.26E+06,2.63E+06,298446,165038,,,,
A2ARP8,A2ARP8_MOUSE,Map1a,Microtubule-associated protein 1 A,209,207,4.25E+07,3.14E+07,3.37E+07,1.88E+06,2.19E+06,8.31E+06,6.42E+06,2.61E+06,2.22E+06,9.16E+06,8.21E+06,3.44E+06,2.06E+06,8.47E+06,6.38E+06,1.83E+07,2.00E+07,1.12E+07,1.68E+07,1.22E+07,1.57E+07,3.86E+06,5.95E+06,,8.32E+06,3.44E+06,,8.28E+06,1.54E+06,,,4.65E+07,3.67E+07,5.88E+07,,787757,1.47E+06,,,,,,
Q8BW75,AOFB_MOUSE,Maob,Amine oxidase [flavin-containing] B,28,28,1.78E+06,2.15E+06,1.05E+06,1.31E+06,,3.54E+06,,1.08E+06,,4.73E+06,,1.20E+06,,3.72E+06,,1.18E+06,879264,481713,223677,360341,444198,571511,1.81E+06,,,,,442065,,400237,2.28E+06,,,,1.15E+06,712131,,,577566,,,,
Q64133,AOFA_MOUSE,Maoa,Amine oxidase [flavin-containing] A,30,30,3.19E+06,4.52E+06,1.75E+06,2.04E+06,,4.80E+06,,1.71E+06,,4.55E+06,,1.80E+06,,4.96E+06,,1.52E+06,816640,2.57E+06,425068,518172,504595,474067,4.32E+06,,,1.20E+06,,877752,,692402,1.66E+06,,385304,,,556375,,,848966,,,,
Q9CXI5,MANF_MOUSE,Manf,Mesencephalic astrocyte-derived neurotrophic factor,15,15,,276036,,237684,,32641.1,,200354,,182879,,213772,,,,188466,230989,,95899.1,99467.4,765446,502898,149239,261929,,,,,,,441375,,,,,206186,,,2.09E+06,,2.45E+06,1.61E+06,
A0A0R4J092,A0A0R4J092_MOUSE,Manba,Beta-mannosidase,5,5,,,,,,,,,,,,,,,,,,,,,,,,403350,,,,,,93521.8,214590,,,,,,,,136255,,,,
Q91W89,MA2C1_MOUSE,Man2c1,Alpha-mannosidase 2C1,15,15,,,,62755.4,175466,74556.7,102745,52794.1,204661,67829.2,70922,86506.6,221285,63005.6,94720.8,,,,,,,,87718.9,,92114,,,,330529,130905,116269,,,,,,,272780,70084.5,,,,
O54782,MA2B2_MOUSE,Man2b2,Epididymis-specific alpha-mannosidase,19,19,,,,,,,,,,,,,,,,,,,,,,423491,,58299.8,,,,,,,127921,,,,,110140,565255,44519.1,415674,,,,
O09159,MA2B1_MOUSE,Man2b1,Lysosomal alpha-mannosidase,13,13,,,,,,64693.4,,,,,33336.3,,,,,57560.1,,,,,,,,689842,,,,,190410,491386,172409,,,,,391864,313363,97165.1,430516,,,,
Q8BRK9,MA2A2_MOUSE,Man2a2,Alpha-mannosidase 2x,7,7,,,,,,66985.5,,,,70653.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30368.4,,,,
P27046,MA2A1_MOUSE,Man2a1,Alpha-mannosidase 2,31,31,,,,,,78081.9,,,,,,,,,,,,,,,,,,,,,,,,339184,275540,,,,,,,,628312,,,,
A2AJ15,MA1B1_MOUSE,Man1b1,"Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase",6,6,,,,,,93319.5,,,,120529,,,,76922.7,,,,,,,,,,,,,,,,,,,,,,,,,51937.3,,,,
P39098,MA1A2_MOUSE,Man1a2,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",6,6,,,,,,146560,,,,183417,,,,69793.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P45700,MA1A1_MOUSE,Man1a1,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156055,,,,,,273691,,,,,,,
Q8BI08,MAL2_MOUSE,Mal2,Protein MAL2,2,2,2.72E+06,2.00E+06,928922,3.55E+06,4.04E+06,1.35E+07,486665,2.68E+06,3.28E+06,1.69E+07,512451,4.04E+06,2.42E+06,5.93E+06,353752,797708,1.10E+06,,240431,201379,348132,,,155140,,2.18E+06,,,172826,391480,3.96E+06,320011,,,,,,,118427,,,,
Q8BGS0,MAK16_MOUSE,Mak16,Protein MAK16 homolog,3,3,,,,,,33355,,,,75931.5,,,,74449.6,,20755.7,,101471,48386.4,111896,73177.2,1.02E+06,,171226,,,,139334,,,,,,,,110949,303969,,,,22275.4,26081.8,
Q9D992,MAJIN_MOUSE,Majin,Membrane-anchored junction protein,1,1,,,,,,,,,,,,,,,,,,,,,,7.00E+06,,,,,,,,,,,,,,,,,142698,,,,
Q8BHE8,MAIP1_MOUSE,Maip1,"m-AAA protease-interacting protein 1, mitochondrial",6,6,,188680,,308702,,737559,,269279,,842318,,317166,,467526,,422514,291687,1.01E+06,,,,860252,319795,139331,,,,252462,,1.56E+06,,,,,,1.04E+06,,,773473,,,,
Q9CQY5,MAGT1_MOUSE,Magt1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit MAGT1,6,6,,,,,,,,,,200511,,,,,,,,,,,,,262886,,,,,,,486376,179344,,,,,,,,216670,,,,
P61327,MGN_MOUSE,Magoh,Protein mago nashi homolog,13,1,2.41E+06,2.21E+06,866866,,,2.32E+06,130496,,,2.48E+06,,,,1.17E+06,,158183,,,856980,641273,814540,440468,,541444,,,,783927,,249110,633034,,,,,764564,1.15E+06,1.01E+06,818263,,,,
Q4KL35,MAGIX_MOUSE,Magix,PDZ domain-containing protein MAGIX,6,6,,,,,,,,,,,,,,,,,,,,,,,,371145,,,,,,,,,,,,151957,,,,,,,
Q9EQJ9,MAGI3_MOUSE,Magi3,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3",29,29,140893,116580,105382,,303667,90382.2,,44610.6,217788,97563.8,,25209.3,219443,68189.7,,307807,252824,126935,165516,222343,340261,,,,,,,,,,200703,127742,219174,,,63656,,,,,,,
Q9WVQ1,MAGI2_MOUSE,Magi2,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2",44,42,434528,344481,415938,158130,900972,198630,30906.6,142795,723937,195573,30618.8,197969,553937,158758,56812.4,182390,290113,120532,696566,540171,736027,,115605,81675.7,,,,201915,,,,,312099,365650,,83462.6,,,,,,,
Q6RHR9,MAGI1_MOUSE,Magi1,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",23,23,361356,386138,451848,174780,994524,221884,,254577,714987,272801,,225179,557650,172897,,467879,573268,,518158,660620,665364,,,88549.4,,,,178595,,,,888393,926737,1.02E+06,,,,,,,,,
Q6PCZ4,MAGE1_MOUSE,Magee1,Melanoma-associated antigen E1,5,5,,,,,45080.5,76754.4,,,,85057.8,,,57229.3,144726,,73651.6,62482.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Q9ER67,Q9ER67_MOUSE,Maged2,Melanoma-associated antigen D1,4,4,,,,,144738,65214.6,,,204327,23445.3,,,102495,,,,,,,,,,,,,,,,,,,,,,,,,,64912,,,,
Q9QYH6,MAGD1_MOUSE,Maged1,Melanoma-associated antigen D1,10,9,126079,146383,,34712.5,245499,122786,,,263850,125530,52289.7,,229182,62774.1,50197.3,76149.9,84340.1,,79161.9,79017,72824.9,86256.6,36356.4,,,,,,,,,,,,,,,72199.1,63871.1,,,,
A2A9R3,MAGB4_MOUSE,Mageb4,Melanoma-associated antigen B4,7,7,,,,,,,,,,,,,,,,,,,,,,1.54E+06,,,,,,,,,,,,,,,,355253,136196,,,,
Q99PA7,Q99PA7_MOUSE,Magea13,MAGE family member A13,10,10,,,,,,,,,,,,,,,,,,,,,,1.79E+06,,,,,,,140861,,,,,,,,474516,2.63E+06,1.94E+06,,,,
P20917,MAG_MOUSE,Mag,Myelin-associated glycoprotein,25,25,4.56E+06,3.70E+06,3.07E+06,1.79E+06,6.50E+06,1.73E+07,,1.40E+06,4.85E+06,2.11E+07,,2.40E+06,3.39E+06,1.37E+07,,2.96E+06,3.01E+06,2.22E+07,1.52E+06,1.15E+06,1.38E+06,1.16E+06,1.23E+07,,,7.56E+06,,1.25E+07,,,488851,2.07E+06,816844,1.42E+06,,,,419153,172380,,,,
O54790,MAFG_MOUSE,Mafg,Transcription factor MafG,3,2,,,,,,,,,,,,,,,,66205.5,75701.6,,,,,,,77489.4,,,,,,,,,,,,186181,,,,,,,
Q8BVN9,MAEL_MOUSE,Mael,Protein maelstrom homolog,16,16,,,,,,,,,,,,,,,,,,,,,,7.49E+06,,,,,,,,,,,,,,,1.81E+06,367137,632137,,,,
E9QN47,E9QN47_MOUSE,Madd,MAP kinase-activating death domain protein,1,1,,,,28465.1,,44281.8,,27346.6,,38605.8,,19157.8,,12854.4,11729.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q80U28,MADD_MOUSE,Madd,MAP kinase-activating death domain protein,47,47,396032,490439,,849253,368472,945909,356048,738180,327488,962084,416955,818318,318332,939423,360722,288457,361150,348158,,,,,,,,104550,,,,,,,,,,,,,,,,,
Q9Z1B5,MD2L1_MOUSE,Mad2l1,Mitotic spindle assembly checkpoint protein MAD2A,3,3,69800.4,,,,,56550.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279208,99806.1,,,,
Q9WTX8,MD1L1_MOUSE,Mad1l1,Mitotic spindle assembly checkpoint protein MAD1,5,5,,,,,24426.3,10916.8,,,23031.8,9728.45,,,22540.3,34526.5,,,,,,,,,,,,,,,,,,,,,,25065.6,,,22747.4,,,,
Q8CCK0,H2AW_MOUSE,Macroh2a2,Core histone macro-H2A.2,24,23,4.19E+06,1.12E+06,1.71E+06,,,5.90E+06,,,,9.75E+06,,,,5.71E+06,,3.18E+06,4.02E+06,5.68E+06,1.53E+06,1.71E+06,1.89E+06,2.11E+06,1.31E+06,117258,,,,1.54E+06,,,652818,,,,,3.78E+06,,,,,,,
Q9QZQ8,H2AY_MOUSE,Macroh2a1,Core histone macro-H2A.1,30,26,1.77E+07,6.66E+06,8.18E+06,,,4.99E+07,,,641935,9.37E+07,,,,4.96E+07,,8.90E+06,1.26E+07,3.68E+07,7.33E+06,8.62E+06,8.96E+06,6.61E+07,4.92E+06,2.75E+06,204505,,,1.11E+07,939707,,5.62E+06,6.42E+06,3.70E+06,9.32E+06,6.45E+06,3.59E+07,3.79E+06,,,,,,
Q922B1,MACD1_MOUSE,Macrod1,ADP-ribose glycohydrolase MACROD1,3,3,,,,405967,,129306,,310816,,50517.7,,575626,,,,,,,,74743.3,267655,,944145,167471,162265,,,,,1.12E+06,162267,,,,5.41E+06,,,,591353,,,,
Q7TQE6,MACOI_MOUSE,Maco1,Macoilin,6,6,,,,,,31088.9,,,,34901.1,,,,16062.8,,17099.8,19165.4,,,,,35090.6,,,,,,,,,,,,,,,,,,,,,
B1ARU4,B1ARU4_MOUSE,Macf1,Actin cross-linking family 7,397,391,1.87E+06,2.68E+06,703959,239780,,5.84E+06,,254486,,6.73E+06,,245685,,4.40E+06,168214,2.90E+06,2.95E+06,2.33E+06,,,449798,1.97E+06,757902,,,,,,,,1.52E+06,1.89E+06,,2.73E+06,,1.63E+06,1.49E+06,429267,319689,,,,
F6RL59,F6RL59_MOUSE,Macf1,Microtubule-actin crosslinking factor 1 (Fragment),2,2,,,,,,,,,,,,,,,,42492.9,52624.6,,,,,,,,,,,,,,,,,,,106568,,,,,,,
F6SHS0,F6SHS0_MOUSE,Macf1,Microtubule-actin crosslinking factor 1 (Fragment),4,4,,,,,,500658,,,,667832,,,,1.10E+06,,852437,981122,,,,,,,,,,,,,,,,,,,,,,,,,,
F6XCT0,F6XCT0_MOUSE,Macf1,Microtubule-actin crosslinking factor 1 (Fragment),3,3,,,,,,209783,,,,269868,,,,136042,,60994.9,69861.7,,,,,,,,,,,,,,,,,,,86426.7,,,,,,,
Q69ZZ9,K0754_MOUSE,Macf1,"Microtubule-actin cross-linking factor 1, isoforms 6/7",7,7,,,,,,281978,,,,405781,,,,128408,,114308,134480,183067,,,,297085,,,,,,,,,117803,,,,,164553,,,,,,,
P24668,MPRD_MOUSE,M6pr,Cation-dependent mannose-6-phosphate receptor,4,4,,,,237990,,378318,102150,139652,,408339,141739,144148,,,142794,456399,709842,448683,,,,377564,546112,,,,,,,267689,220798,,,,,191970,,108962,706653,,,,
Q9Z0E1,M1AP_MOUSE,M1ap,Meiosis 1 arrest protein,1,1,,,,,,,,,,,,,,,,,,,,,,4.21E+06,,,,,,,,,,,,,,,,,,,,,
A2AHG0,LZTS3_MOUSE,Lzts3,Leucine zipper putative tumor suppressor 3,31,31,413963,334101,460190,,206256,299031,,,237835,313856,,,206512,407589,,829895,1.27E+06,231156,586390,806114,900008,,,193058,,,,,,,,775358,899840,911446,,258898,,,,,,,
P60853,LZTS1_MOUSE,Lzts1,Leucine zipper putative tumor suppressor 1,17,17,,565071,,120141,,621681,,145908,190460,1.10E+06,,,364612,854462,,565730,627761,,,185191,295519,,,,,,,,,,,,,,,,,,,,,,
Q9JHQ5,LZTL1_MOUSE,Lztfl1,Leucine zipper transcription factor-like protein 1,16,16,,,,106271,,201411,193757,58426.4,,,175939,90457,,333253,148680,,,,191251,285587,108264,876260,,330630,821076,,,255165,581460,303862,200138,,,,,305626,2.08E+06,3.66E+06,1.25E+06,,,,
