protocol,term_name,term_id,adjusted_p_value,negative_log10_of_adjusted_p_value,intersection_size,term_size,query_size
Pellet,mitochondrial membrane,GO:0031966,2.7732430659672967e-10,9.55701206421871,21,791,97
FASP 8M urea,mitochondrial membrane,GO:0031966,2.7732430659672967e-10,9.55701206421871,21,791,97
FASP-Pellet,membrane raft,GO:0045121,3.1678858197091526e-10,9.49923048010145,15,319,99
SN,postsynapse,GO:0098794,3.19e-10,9.49628305,23,1005,96
SN,glutamatergic synapse,GO:0098978,3.34e-10,9.4760075,21,809,96
Control/membrane,glutamatergic synapse,GO:0098978,4.2521038587061456e-10,9.371396136267244,21,809,97
Pellet-pellet,transmembrane transporter complex,GO:1902495,4.287464327821738e-10,9.367799480312351,17,466,98
Control/membrane,membrane,GO:0016020,4.855754691691231e-10,9.31374326154068,72,10223,97
FASP 8M urea,somatodendritic compartment,GO:0036477,5.276038696844221e-10,9.277692027802647,24,1123,97
FASP-Pellet,dendrite,GO:0030425,5.750618255705367e-10,9.240285461291746,21,803,99
FASP-Pellet,dendritic tree,GO:0097447,6.02776426602397e-10,9.219843740426228,21,805,99
FASP-Pellet,membrane,GO:0016020,6.068306674518613e-10,9.216932479354378,73,10223,99
Control/membrane,transport vesicle,GO:0030133,9.432967241611382e-10,9.025351673757198,16,421,97
Gel,membrane protein complex,GO:0098796,1.014467036284937e-09,8.993762060204949,25,1256,98
Gel,neuron to neuron synapse,GO:0098984,1.1174596166874131e-09,8.951768162662887,17,495,98
FASP 8M urea,organelle inner membrane,GO:0019866,1.2241701390374543e-09,8.912158218375,18,584,97
SN,axon terminus,GO:0043679,1.32e-09,8.880842948,12,189,96
FASP-Pellet,neuron to neuron synapse,GO:0098984,1.347300603525866e-09,8.87053549567454,17,495,99
Gel,postsynaptic density,GO:0014069,1.534542006540418e-09,8.814021218695821,16,430,98
FASP-Pellet,mitochondrion,GO:0005739,1.793152924307756e-09,8.74638267120137,30,1889,99
Pellet-pellet,mitochondrial membrane,GO:0031966,3.0741641076658282e-09,8.512272952336811,20,791,98
Gel,asymmetric synapse,GO:0032279,3.2377409976926996e-09,8.489757895475103,16,452,98
Pellet,dendrite,GO:0030425,3.281197183802118e-09,8.483967669868758,20,803,97
FASP 8M urea,dendrite,GO:0030425,3.281197183802118e-09,8.483967669868758,20,803,97
Pellet,dendritic tree,GO:0097447,3.4308809291747077e-09,8.46459435413844,20,805,97
FASP 8M urea,dendritic tree,GO:0097447,3.4308809291747077e-09,8.46459435413844,20,805,97
Pellet,distal axon,GO:0150034,4.299169251710203e-09,8.366615457037707,15,392,97
Pellet,presynapse,GO:0098793,6.887687217167449e-09,8.161926583235955,20,837,97
Gel,postsynaptic specialization,GO:0099572,8.163378924942075e-09,8.088130044099382,16,481,98
FASP-Pellet,postsynaptic specialization,GO:0099572,9.729137987756657e-09,8.011925636992162,16,481,99
